lc,nodes,elements,elems_on_ellipse,elems_on_circle,sigma_max_ellipse,sigma_max_circle,Kt_ellipse,Kt_circle,Kt_analytical,abs_error,rel_error_pct
25,2834,1360,19,28,33.7366025247478,33.4311030767027,3.37366025247478,3.34311030767027,4.6,1.22633974752522,26.6595597288092
20,4236,2050,23,32,34.2580105073772,34.212206413509,3.42580105073772,3.42122064135089,4.6,1.17419894926228,25.5260641143974
15,7429,3623,31,44,35.2111782647915,35.8762068931821,3.52111782647915,3.58762068931821,4.6,1.07888217352085,23.4539602939315
12.5,10561,5171,37,52,34.9145152641126,36.3555310245083,3.49145152641126,3.63555310245083,4.6,1.10854847358874,24.0988798606249
10,16317,8023,46,64,36.0938038572218,36.9614713928222,3.60938038572218,3.69614713928222,4.6,0.990619614277823,21.5352090060396
8,25131,12397,57,80,36.4464168474557,37.1806648327467,3.64464168474557,3.71806648327467,4.6,0.955358315254433,20.7686590272703
7,32804,16208,66,92,36.6427514318401,37.4113383075157,3.66427514318401,3.74113383075157,4.6,0.935724856815992,20.3418447133911
5,63740,31600,92,128,37.0151122097822,37.7297726504839,3.70151122097822,3.77297726504839,4.6,0.898488779021776,19.532364761343
4,98854,49090,114,160,37.2016923258656,38.0226723152555,3.72016923258656,3.80226723152555,4.6,0.87983076741344,19.1267558133356
